Time,External Nutrition,Internal Nutrition,Active Hyphal,Tip
2.1,1332291.42012183,105942.7926117,16197,6864
2.11,1330223.77115789,107638.986097109,16484,6979
2.12,1327963.42909918,109510.952484124,16770,7058
2.13,1326018.55097932,111443.92724489,17090,7147
2.14,1324008.6830917,113263.294940147,17407,7217
2.15,1321916.60716588,115084.423621171,17689,7303
2.16,1319830.82752703,116997.863878167,17974,7449
2.17,1317900.6780625,118754.446427959,18316,7514
2.18,1315822.49842147,120763.193329139,18640,7592
2.19,1313921.7979937,122352.93440384,18913,7769
2.2,1311526.29822316,124237.519018304,19291,7822
2.21,1309430.96507483,126370.26011323,19627,7907
2.22,1307380.12509245,128287.235684356,19927,8019
2.23,1305000.76097335,130181.43161261,20320,8047
2.24,1303083.47793354,132186.302790196,20588,8201
2.25,1300997.09359394,133961.695557944,20862,8320
2.26,1299079.06675049,135753.235454168,21195,8425
2.27,1296610.84623177,137511.292024458,21541,8538
2.28,1294307.24029252,139906.948860268,21947,8540
2.29,1291929.07493723,141977.223031405,22252,8648
2.3,1290151.46218433,143819.579546357,22567,8792
2.31,1287703.96740946,145735.517085036,22898,8868
2.32,1285660.18083555,147787.800650151,23203,8976
2.33,1283310.5745394,149798.944467806,23573,9051
2.34,1281052.85628393,151770.141894293,23955,9110
2.35,1278849.19270124,153766.415989372,24335,9159
2.36,1276601.6756947,155879.836917077,24692,9242
2.37,1274091.51484959,157829.904746682,25013,9388
2.38,1271655.04253686,160349.105489422,25423,9468
2.39,1269286.49380881,162484.836466723,25748,9580
2.4,1266781.43407758,164399.983409908,26137,9644
2.41,1264584.61477896,166704.704355272,26517,9745
2.42,1262184.60723353,168857.154838146,26857,9868
2.43,1259502.07668032,170991.827362053,27211,10003
2.44,1256904.48857455,173453.54101916,27624,10089
2.45,1254625.41977616,175652.905328351,28041,10165
2.46,1251760.55484013,177779.715940257,28415,10300
2.47,1248957.46795592,180229.915719333,28853,10334
2.48,1246716.18180111,182761.929703308,29259,10433
2.49,1244444.47167654,184780.779342251,29629,10539
2.5,1241864.98315243,186880.884291604,30017,10662
2.51,1239020.37126692,189274.602310527,30481,10723
2.52,1236012.73760067,192021.187146226,30838,10877
2.53,1233468.32478763,194459.426813366,31291,10928
2.54,1231016.46953385,196759.450283799,31672,11067
2.55,1228398.86713132,198982.45922538,32064,11192
2.56,1225901.94912011,201220.042338998,32470,11304
2.57,1223166.93412885,203820.544595329,32911,11346
2.58,1220659.00142414,206121.194907221,33324,11460
2.59,1217985.19373559,208210.253669605,33801,11483
2.6,1215178.91361037,210886.232959188,34207,11573
2.61,1212360.03333555,213279.913141434,34681,11675
2.62,1209736.19147495,215936.504514417,35119,11737
2.63,1206828.61667305,218344.592431051,35505,11878
2.64,1203941.18581619,221107.935252201,35925,11970
